Report: Besucher/Hostoverview,,,,,,
Site: aznetz,,,,,,
Zeitraum: 01.04.2019 00:00:00 GMT - 01.05.2019 00:00:00 GMT,,,,,,
Filter: ,,,,,,
Darstellung: Darstellung pro Monat,,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,,
Website,Pis,Visits,Pis/Visit,Clients,Viewtime,Visits Duration
aznetz,33.173.367,6.555.393," 5,06",1.084.332,61,"   309,27"
lusonz,11.210.018,3.686.486," 3,04",856.654,68,"   205,44"
fm1today,7.696.829,2.198.711," 3,50",285.368,68,"   238,74"
tagblatt,7.326.259,2.209.442," 3,32",672.551,60,"   199,06"
swissmom,4.144.062,1.695.822," 2,44",693.856,92,"   225,93"
ojob,3.800.592,409.176," 9,29",120.828,35,"   328,68"
wildeis,2.148.375,782.623," 2,75",383.141,65,"   178,07"
pilatus,1.013.053,444.737," 2,28",169.564,76,"   172,35"
argovia,873.767,244.530," 3,57",74.206,74,"   264,56"
telezh,810.153,315.911," 2,56",171.315,111,"   285,31"
radio24,709.304,208.454," 3,40",48.876,84,"   286,75"
myjob,411.836,95.485," 4,31",62.412,50,"   217,24"
wirelter,349.042,148.609," 2,35",112.038,57,"   133,16"
telem1,262.979,97.745," 2,69",60.997,83,"   224,43"
virgin,208.574,63.335," 3,29",16.749,107,"   351,15"
telebaer,202.860,85.740," 2,37",56.489,90,"   212,18"
zjob,106.276,27.972," 3,80",17.023,55,"   207,53"
tv24,106.046,37.470," 2,83",27.131,60,"   169,53"
?,74.553.392,19.307.641," 62,85",4.913.530,1.296,"   4209,39"
?,4.141.855,1.072.647," 3,49",272.974,72,"   233,86"

