Report: Besucher/Hostoverview,,,,,,
Site: aznetz,,,,,,
Zeitraum: 01.05.2020 00:00:00 GMT - 01.06.2020 00:00:00 GMT,,,,,,
Filter: ,,,,,,
Darstellung: Darstellung pro Monat,,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,,
Website,Pis,Visits,Pis/Visit,Clients,Viewtime,Visits Duration
aznetz,39.747.712,8.910.628," 4,46",1.466.220,70,"   312,96"
lusonz,15.755.775,6.469.582," 2,44",1.647.157,81,"   198,01"
tagblatt,9.464.320,3.705.812," 2,55",1.202.134,75,"   190,96"
fm1today,7.736.703,2.326.939," 3,32",472.113,70,"   233,19"
swissmom,5.545.617,2.706.443," 2,05",1.120.118,109,"   223,32"
pilatus,4.472.694,1.457.385," 3,07",349.386,70,"   216,18"
ojob,2.750.536,429.897," 6,40",137.682,46,"   296,75"
wildeis,2.746.587,1.137.391," 2,41",536.127,75,"   181,26"
telezh,1.195.818,513.176," 2,33",276.067,108,"   251,13"
radio24,967.329,387.811," 2,49",101.573,99,"   245,80"
argovia,875.316,288.331," 3,04",74.662,94,"   286,59"
telem1,514.308,246.384," 2,09",157.001,93,"   193,49"
myjob,466.947,115.733," 4,03",73.454,52,"   207,92"
wirelter,431.913,227.110," 1,90",176.895,71,"   135,25"
telebaer,395.719,177.932," 2,22",107.628,91,"   201,91"
zjob,341.794,88.401," 3,87",48.106,44,"   169,05"
virgin,335.017,131.613," 2,55",34.690,139,"   354,83"
tv24,166.229,52.463," 3,17",31.115,121,"   384,66"
?,93.910.334,29.373.031," 54,39",8.012.128,1.509,"   4283,26"
?,5.217.241,1.631.835," 3,02",445.118,84,"   237,96"
