Report: Besucher/Hostoverview,,,,,,
Site: aznetz,,,,,,
Zeitraum: 01.03.2020 00:00:00 GMT - 01.04.2020 00:00:00 GMT,,,,,,
Filter: ,,,,,,
Darstellung: Darstellung pro Monat,,,,,,
Report erstellt durch: azmedien_gluenz (azmedien_gluenz),,,,,,
Website,Pis,Visits,Pis/Visit,Clients,Viewtime,Visits Duration
aznetz,52.141.747,12.208.275," 4,27",1.922.958,81,"   344,68"
lusonz,21.996.850,8.452.505," 2,60",2.008.033,83,"   216,44"
tagblatt,14.702.708,6.199.791," 2,37",2.018.126,78,"   184,13"
fm1today,9.119.360,2.909.404," 3,13",539.814,90,"   280,97"
swissmom,4.482.151,1.968.678," 2,28",805.323,99,"   225,30"
ojob,3.311.114,415.561," 7,97",123.749,38,"   302,25"
pilatus,3.068.374,1.300.432," 2,36",422.845,82,"   192,78"
telezh,2.491.148,1.182.018," 2,11",582.700,118,"   249,61"
wildeis,2.331.464,957.313," 2,44",453.786,73,"   178,29"
radio24,2.201.548,1.090.218," 2,02",416.982,91,"   183,74"
argovia,1.125.974,389.920," 2,89",125.128,96,"   275,80"
tv24,970.804,215.994," 4,49",103.154,196,"   883,01"
telem1,703.408,341.573," 2,06",202.917,99,"   203,82"
telebaer,639.420,323.689," 1,98",195.457,106,"   209,14"
virgin,362.564,141.549," 2,56",45.518,127,"   325,59"
wirelter,315.219,176.792," 1,78",135.352,82,"   146,47"
myjob,205.073,57.270," 3,58",36.359,50,"   177,33"
zjob,175.391,46.954," 3,74",27.591,43,"   161,12"
?,120.344.317,38.377.936," 54,62",10.165.792,1.631,"   4740,48"
?,6.685.795,2.132.108," 3,03",564.766,91,"   263,36"

